ParentOrganisation.ABN,ParentOrganisation.LegalName,ABN,LegalName,ClientNotes
73137508555,The Premier Communications Group Pty Ltd.,,Boyuan Holdings Limited,
92715851492,Chikarovski & Associates Pty Ltd,,BOYUAN HOLDINGS LIMITED,
93354249142,The Trustee for ECG Advisory Trust,,BP Australia Pty Ltd,
81634747363,GC Advisory Pty Ltd,,Brabham Automotive Pty Ltd,
49622979177,"Media and Public Affairs ",,Brady Corporation,
56054857698,MR DARYL GORDON PILMORE,,BRAND DEVELOPERS AUSTRALIA PTY LTD,
56054857698,MR DARYL GORDON PILMORE,,BRAND DEVELOPERS AUSTRALIA PTY LTD,
65140067287,"Barton Deakin ",,Brandenburg Ensemble Ltd,
99153936719,"Cornerstone Group Australia Pty Ltd ",,Bravehearts Inc. (Pro Bono),
99153936719,"Cornerstone Group Australia Pty Ltd ",,Bravehearts Inc. (Pro Bono),
23630677673,TG Endeavour Pty Ltd,,Breast Cancer Network Australia,
93354249142,The Trustee for ECG Advisory Trust,,Brewers Association of Australia,
38162366056,Newgate Communications Pty Limited,17000028526,Brickworks LTD,
73130740546,CMAX Communications Pty Ltd,,Brighte,
29138717272,Momentum Strategic Communication Services,,Brighte,
37140000602,Paramul Pty Ltd,,Brighton Council,
65140067287,"Barton Deakin ",,Brisbane Airport Corporation,
71595434578,PRX Unit Trust,47114989650,Brite Services,
52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,,British American Tobacco Australasia,
24613884763,Strategic Political Counsel Pty Ltd,,British American Tobacco Australia,
63003792452,Wells Consulting Group PTY Ltd,,British American Tobacco Australia Limited,
45833435179,The Trustee for Upper Limit Trust,95065297154,Britton Maritime Systems Pty Ltd,
41317956923,GIMC Consulting,067133420,Broadcast Operations Pty Ltd,
27613857668,Next Level Strategic Services Pty Ltd,,Broadspectrum,
76615655699,Nexus APAC Pty Ltd,69000484417,Broadspectrum,
20126507211,Richardson Coutts,,Brookfield Infrastructure Group,
56054857698,MR DARYL GORDON PILMORE,,B-RUSH,
38162366056,Newgate Communications Pty Limited,,BSA Business Software Alliance Inc,
65140067287,"Barton Deakin ",,BSE Maritime Solutions,
32105250413,The Strategic Counsel,,BTG plc,
74085739046,Fowlstone Communications,,Budvalt Pty Ltd,
36617864347,Primary Communication Partners,37492219079,Building Designers Association of Australia,
71619450841,PremierNational Pty Ltd,24083928045,BUILT PTY LIMITED,
26149964189,Premier State Consulting Pty Ltd,24083928045,Built Pty Ltd,
79109681405,Hawker Britton Group Pty Ltd,,Bunnings,
76139847055,Lyndon George Pty Ltd,,Bupa Australia,
73130740546,CMAX Communications Pty Ltd,,Burgmann College Incorporated,
37140000602,Paramul Pty Ltd,,Burnie City Council,
37140000602,Paramul Pty Ltd,,Burnie City Council,
86231566780,The Trustee for Bespoke Business Trust,,Business Council of Australia,
23630677673,TG Endeavour Pty Ltd,,Business Council of Australia,
79109681405,Hawker Britton Group Pty Ltd,,Business Events Council of Australia,
65140067287,"Barton Deakin ",56450593470,Business Foundations,"https://www.businessfoundations.com.au/ "
62630031355,Enjolras Pty Ltd,,Bust a Move Dance,
81634747363,GC Advisory Pty Ltd,35081164347,Bustech Pty Ltd,
47139102891,CPI Strategic Pty Ltd,,BusVic,
33136520548,SAS Consulting Group Pty Ltd,,BUSY at Work,
13100392827,Wurley Group Pty Ltd,,BXTAccelyon Australia Pty Ltd,
91338850428,M.J STEVENS & P WONG,34418816353,BYRON FOODS,www.byronfoods.com
59719341477,Advanced Outcomes,54609196170,C&G Communities Pty Ltd,www.commercialgeneral.com.au
59719341477,Advanced Outcomes,30609198567,C&G Development Management Pty Ltd,www.commercialgeneral.com.au
49622979177,"Media and Public Affairs ",,CabiT,
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Calcorp Services Pty Ltd ",
22117516090,Andrew Mihno,,Call Journey (Speech Analytics Innovator of compliance and illegal conduct detection),
89096965794,opr Agency,17000032128,Caltex,
34065114187,CETE Consulting Pty Ltd,66008642751,Calzoni S.r.l.,
49622979177,"Media and Public Affairs ",,Cambridge Weight Plan,
29145634224,Jo Scard Pty Ltd,,Camp Quality ABN 87 052 097 720,
25102956990,Lawrence Media Services Pty Ltd,,Campbell Scholtens Pty Ltd,
50082123822,GRACosway Pty Ltd,,Canada Pension Plan Investment Board,
91133062012,Sports Hydrant Pty Ltd,,Canberra Consulting,
94630474207,Brickfielder Insights Pty Ltd,,Canberra Data Centres Proprietary Limited,
74068259683,Asys Consulting,,Cannabis Harvest Limited,
51364113263,Cotterell Jannette Suzanne,,canSpeak Australia (pro bono),
47609028015,Insight Strategy Pty Ltd,,Capital Hill Advisory,
50082123822,GRACosway Pty Ltd,,Capitol Health Limited,
39098650241,John O'Connor and Associates Pty Ltd,,Capral Aluminium Limited,
28125233543,Government Relations Solutions Pty Ltd,,Capricorn Shipping Pty Ltd,
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Caption It Pty Ltd ",
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Caption It Pty Ltd ",
92715851492,Chikarovski & Associates Pty Ltd,18210132023,Careflight Limited,
51364113263,Cotterell Jannette Suzanne,,Carers Australia,
71595434578,PRX Unit Trust,95005449909,Carlton Football ClubCARLTON FOOTBALL CLUB LIMITED,https://www.carltonfc.com.au/
52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,,Carnival Australia,
52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,,Carnival Australia,
71105001081,Bush Consulting Services Pty Ltd,,Carpaolo Nominees Pty Ltd,
35631919009,Counsel House Pty Ltd,,"Cartwheel Resources Pty. Ltd. ",
98997265041,John Cook,,Casino Management International,
20098705403,Australian Public Affairs Limited Partnership,,Castlereagh Co Pty Ltd (trading as Castlereagh Imaging),
71595434578,PRX Unit Trust,97004332469,CATERPILLAR OF AUSTRALIA PTY LTD,https://www.cat.com/en_AU
51364113263,Cotterell Jannette Suzanne,,Catholic Health Australia,
71595434578,PRX Unit Trust,,Caydon Property Group,
50619061504,Forbes Consultancy,,CBE Pty Ltd,
86090759032,Sefiani Communications Group Pty Ltd,,CCI,
25069333400,TAYLOR STREET ADVISORY PTY LTD,74165629783,Celestino Pty Limited,
89096965794,opr Agency,,Celgene,
99003613134,Covance Pty Ltd (Covance Market Access Services division),,Celgene Pty Ltd,
90604408826,TSB Advisory Pty Ltd,42118999771,Celgene Pty Ltd,
30624548429,Health Communincations Australia Pty Limited,,Celgene Pty Ltd,
63106038304,Premier Strategy Pty Ltd,,"Central Highlands Councils ",
19133444041,Vanguard Consulting and Services Pty Ltd,,Central Queensland Hospital and Health Service (CQHHS),
37108802366,Purple Communications Australia Pty Ltd,,"Centre for Entrepreneurial Research and Innovation Limited ",
48074671462,Essential Media Communications,,Centre for Evidence and Implementation,
58140762689,CJC Property Consultants Pty Ltd,17857841823,Centre for Participation Inc,https://centreforparticipation.org.au/
29145634224,Jo Scard Pty Ltd,,Centre for Social Impact ABN 57 195 873 179,
71619450841,PremierNational Pty Ltd,,CFD & Margin FX Association Limited,ACN 608 241 274
81623654839,Coode Holdings Pty Ltd,,CG Berbatis Holdings Pty Ltd,
93354249142,The Trustee for ECG Advisory Trust,,Challenger Limited,
65140067287,"Barton Deakin ",,Chamber of Commerce and Industry Western Australia,
76615655699,Nexus APAC Pty Ltd,,Chamber of Commerce of the United States of America,"https://www.uschamber.com/
The Chamber is not an Australian company and hence no ABN."
85131323352,BTelecom Pty Ltd,,Chamberlains SBR Chartered Accountants,
36617864347,Primary Communication Partners,,Charity Bounce,
99153936719,"Cornerstone Group Australia Pty Ltd ",,Charlton Excavation and Demolition,
38162366056,Newgate Communications Pty Limited,50084642571,Chartered Accountants Australia and New Zealand,
65140067287,"Barton Deakin ",,CHC Helicopters Australia,
29634573363,National Advisory Pty Ltd,,Chemotherapy Compounding Group,Chemotherapy Compounding Group
41843147963,Aviops Pty Ltd acting as trustee for the McCormack Family Trust,,Chemring Australia Pty Ltd,
51364113263,Cotterell Jannette Suzanne,,Childcare NSW,
51364113263,Cotterell Jannette Suzanne,,Childcare SA,
51364113263,Cotterell Jannette Suzanne,,Childcare WA,
48074671462,Essential Media Communications,,ChildFund,
71619450841,PremierNational Pty Ltd,47002684737,Children's Medical Research Institute,
38162366056,Newgate Communications Pty Limited,,"China Mengniu Dairy Company Limited ","International client - no ABN  "
33136520548,SAS Consulting Group Pty Ltd,,China Telecom Global Limited,
14613519770,KIG Energy Pty Ltd,,Chow Steel,
26670042472,Paris Dounoukos,70388962804,Chris O'Brien Lifehouse,https://www.mylifehouse.org.au
71105001081,Bush Consulting Services Pty Ltd,,Christopher John Gray,
71105001081,Bush Consulting Services Pty Ltd,,Christopher John Gray,
63106038304,Premier Strategy Pty Ltd,,CHS Broadbent,
14007098295,Starfare Image Pty Ltd,,Chung's Oriental Trading Pty Ltd,
49622979177,"Media and Public Affairs ",,CIAV,
91631938317,Wells OCallaghan Watterson Pty Ltd,,Ciena Australia Pty Ltd,
99153936719,"Cornerstone Group Australia Pty Ltd ",,CIS Educational,
99153936719,"Cornerstone Group Australia Pty Ltd ",,CIS Educational,
65140067287,"Barton Deakin ",,Citigroup Pty Limited,
63106038304,Premier Strategy Pty Ltd,,City of Ballarat,
77076836792,Clifton Consulting Services Pty Ltd,,City of Greater Geelong,
17148998645,Diplomacy Pty Limited,18374210672,City of Greater Geelong,
56131702755,GRA Partners Pty Ltd,65533218403,City of South Perth,
94064357544,CPR Communications & Public Relations Pty Ltd,,City of Wodonga,
81623654839,Coode Holdings Pty Ltd,,Claradon Property Pty Ltd,
50082123822,GRACosway Pty Ltd,,ClearView Wealth Limited,
50082123822,GRACosway Pty Ltd,,Clemenger BBDO,
89096965794,opr Agency,,Clinical Research Corporation,
38162366056,Newgate Communications Pty Limited,,Clontarf Foundation,
91631938317,Wells OCallaghan Watterson Pty Ltd,,CloudScene,
55150394764,APS Networking Pty Ltd,,Clubs Australia,
55150394764,APS Networking Pty Ltd,,Clubs NSW,
64964952044,Govstrat Pty Ltd,,Clubs Queensland,
65140067287,"Barton Deakin ",,Coal River Products Association,
63103178258,Res Publica Pty Ltd,,Coalition for Advancement of Medical Research Australia,
65144079612,Maser Defence Pty Ltd,,Cobham Antenna Systems,
23630677673,TG Endeavour Pty Ltd,,"Coca Cola South Pacific ",
98134890337,Michelson Alexander Consulting,,Cochlear,
39098650241,John O'Connor and Associates Pty Ltd,,Cockburn Cement Limited,
93156511607,C2hills Investments Pty Limited,,Coffs Harbour City Council,
17148998645,Diplomacy Pty Limited,32430819755,Colac Otway Shire Council,
65002687685,Baldwin Boyle Group,,Coles Group,
93354249142,The Trustee for ECG Advisory Trust,,Coles Supermarkets,
93156511607,C2hills Investments Pty Limited,85624324652,Colinroobie Hills Water Users Pty Ltd,
33425786517,Leonie M. Short,,College of Oral Health Academics,
39129451716,Font Public Relations Pty Ltd,50935329686,Colony 47 Inc,"Colony 47 is an independent, proudly Tasmanian charity.

From our pioneering beginnings in 1973 until today, Colony 47 has been at the forefront of identifying and addressing the complex needs of socially isolated and vulnerable Tasmanians. We know from experience and research that the roots of disadvantage run deep in our community. We help individuals and families develop solutions and find support to build better lives.

Colony 47 delivers integrated services to help individuals and families stay housed, access education, develop skills, find employment and build meaningful family relationships. We have expertise in providing effective support to people such as homeless young women, long term unemployed, humanitarian entrants, or people with persistent and severe mental illness.

Colony 47 provides support to over 20,000 Tasmanian children, young people and families every year.

Website is here: https://www.colony47.com.au/ "
28613329472,Advisory Street Pty Ltd,,Commercial & Asset Finance Brokers Association of Australia,
59719341477,Advanced Outcomes,94606540327,Commercial & General Administration Pty Ltd,www.commercialgeneral.com.au
59719341477,Advanced Outcomes,11130417088,Commercial & General Construction Pty Ltd,www.commercialgeneral.com.au
59719341477,Advanced Outcomes,84611331858,Commercial & General Management Services Pty Ltd,www.commercialgeneral.com.au
59719341477,Advanced Outcomes,26126717913,Commercial & General Property Services Pty Ltd,www.commercialgeneral.com.au
59719341477,Advanced Outcomes,14600978103,Commercial & General Pty Ltd,www.commercialgeneral.com.au
59719341477,Advanced Outcomes,96161705335,Commercial & General Wholesale Office Pty Ltd,www.commercialgeneral.com.au
64168283234,BroadSpectrum Consultants Pty Ltd,,Commercial Radio Australia,
63106038304,Premier Strategy Pty Ltd,,Committee for Ballarat,
77076836792,Clifton Consulting Services Pty Ltd,,Committee for Geelong,
87145965466,Sling & Stone,41687119230,COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,https://www.csiro.au/
62621984923,Brickfielder Government Engagement,92003108030,Community Broadcasting Association of Australia,
71595434578,PRX Unit Trust,50737749394,Community Clubs Victoria,http://ccv.net.au/
65140067287,"Barton Deakin ",30388680258,Community Housing Industry Association Ltd,https://www.communityhousing.com.au/
51364113263,Cotterell Jannette Suzanne,,Community Pharmacy Chemotherapy Services Group,
29145634224,Jo Scard Pty Ltd,,"Community Sector Banking PTY LTD ABN 88 098 858 765 ",
65140067287,"Barton Deakin ",,Company B Limited,
26098280892,Comsult(Aust) Pty Ltd,26098280892,Comsult(Aust) Pty Ltd,
20126507211,Richardson Coutts,,Conexu Foundation,
49622979177,"Media and Public Affairs ",,Confidential Pathology,
29145634224,Jo Scard Pty Ltd,,Congress of Aboriginal & Torres Strait Islander Nurses & Midwives,
27613857668,Next Level Strategic Services Pty Ltd,,Consolidated Properties,
73137508555,The Premier Communications Group Pty Ltd.,,Consolidated Tin Mines Limited,
73137508555,The Premier Communications Group Pty Ltd.,,Consolidated Tin Mines Limited,
32145884608,Butler Hardy Corporate Pty Ltd,,Constantin Nicholas,
32145884608,Butler Hardy Corporate Pty Ltd,,Constantin Nicholas,
51364113263,Cotterell Jannette Suzanne,,Consultative Group for International Agricultural Research (CGIAR),
76615655699,Nexus APAC Pty Ltd,55082798952,Consumer Health Products (Formerly ASMI),
99153936719,"Cornerstone Group Australia Pty Ltd ",96930382154,Consumer Household Equipment Rental Providers Association Inc,
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Consumer Household Equipment Rental Providers Association Inc. ",
29626157015,Shaw Advisory Pty Ltd,,contentgroup,www.contentgroup.com.au
13075789196,Making The World A Better Place Pty Ltd,1-107724,Controlled Outcomes Limited,"PNG Registered Company. Registration Number 1-107724. Section 55 Allotment 17, Gordons National Capital District, PNG. Regional provider of strategic security risk solutions, emergency management & technology solutions. "
63634916199,CHURCHILL ADVISORY PTY LTD,,CONVEXUM,"Private company based in Tel-Aviv, Israel "
97081134698,Ivydale Nominees Pty Ltd,,Coogee Chemicals,
38917883987,Michael Megaw,,Coogee Chemicals Pty Ltd,
35441514971,The Trustee for Jackman Family Trust,,Cooper Energy,
35441514971,The Trustee for Jackman Family Trust,,Cooper Energy,
93156511607,C2hills Investments Pty Limited,,Cootamundra Gundagai Regional Council,
90116598924,Statecraft,,CoreLogic RP Data,
21131482230,Sanlaan Pty Ltd,,Corporate Travel Management Limited,
56131702755,GRA Partners Pty Ltd,89690832091,Corrs Chambers Westgarth,https://corrs.com.au/
27613857668,Next Level Strategic Services Pty Ltd,,Costa Group,
47139102891,CPI Strategic Pty Ltd,,Costa Group of Companies,
48074671462,Essential Media Communications,,COTA Australia,
36617864347,Primary Communication Partners,,Council of International Students Australia,
65140067287,"Barton Deakin ",,Country Garden Australia Pty Ltd,
91631938317,Wells OCallaghan Watterson Pty Ltd,,'Country Womens Association NSW'  (CWA Manly),
71595434578,PRX Unit Trust,80713541680,COWARDS PUNCH LIMITED,https://cowardspunchcampaign.com
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Cracknell and Lonergan Architects Pty Ltd ",
59719341477,Advanced Outcomes,97113908044,"CRC Care Pty Ltd ",
50082123822,GRACosway Pty Ltd,72606370576,Credit Data Solutions Pty Ltd,
94783827646,Vigot & Co,72606370576,Credit Data Solutions Pty Ltd,
81634747363,GC Advisory Pty Ltd,97124231483,Crescent Capital Partners,
32105250413,The Strategic Counsel,,Crescent Capital Partners,
93634947050,Beckington Group,82167727719,Crestech Pty Ltd,An organisation with energy efficient products
86086302838,Marketing Elements Pty Ltd,,Crime Stoppers NSW,
81634747363,GC Advisory Pty Ltd,95008068639,CROFTON PARK DEVELOPMENTS PTY. LTD.,
63634916199,CHURCHILL ADVISORY PTY LTD,95008068639,CROFTON PARK DEVELOPMENTS PTY. LTD.,
63634916199,CHURCHILL ADVISORY PTY LTD,88063956141,CROFTON PARK HOLDINGS PTY LTD,
39098650241,John O'Connor and Associates Pty Ltd,,CSBP Limited,
47008579566,Innovative Electronics Pty Ltd,,CSIRO,
91008657065,Craigleed Pty Ltd,24080378614,CSL Australia Pty Ltd,
89096965794,opr Agency,,CSL Biotherapies,
89096965794,opr Agency,,CSL Limited,
32105250413,The Strategic Counsel,,CSL Limited,
20018352673,The Hon. Robert Charles Baldwin,,CTSi (USA),
78071667797,"SIlk Road Commercial Pty Ltd ",,"Cu River Mining Pty Ltd ",
65140067287,"Barton Deakin ",,Cure Brain Cancer,
91631938317,Wells OCallaghan Watterson Pty Ltd,,Curiious,https://curiious.com/
92715851492,Chikarovski & Associates Pty Ltd,,CUSHMAN & WAKEFIELD (AUSTRALIA) PTY LTD,
70543558011,Brent William Knevett,,Customer Sciences,
27613857668,Next Level Strategic Services Pty Ltd,,Cutting Edge Pty Ltd,
91167042408,Royce Communications Pty Ltd,,CVGT Australia Ltd,
73137508555,The Premier Communications Group Pty Ltd.,,Cyan Stone Pty Limited,
92715851492,Chikarovski & Associates Pty Ltd,,Cyan Stone Pty Ltd,
39118218625,Espresso Communications Pty Ltd,,Cylance,
47166122434,Profile Consulting (Aust) Pty Ltd,,Cystic Fibrosis Australia,
91631938317,Wells OCallaghan Watterson Pty Ltd,,D2L Australia Pty Ltd,
92715851492,Chikarovski & Associates Pty Ltd,62000172967,Daikin Australia Pty Ltd,
74017698338,Justine Caines,,Danii Foundation,
71595434578,PRX Unit Trust,,Danny Greens Stop the Cowards Punch Campaign,
81634747363,GC Advisory Pty Ltd,,"Dar Group ",
87620657418,Ngurrkdu Consulting Pty Ltd,29123822533,Darkon Pty Limited,
56131702755,GRA Partners Pty Ltd,52127916009,"Datacom Systems (WA) Pty Ltd ",
99153936719,"Cornerstone Group Australia Pty Ltd ",,Deafness Forum Ltd. (Pro Bono),
22535615464,"MCDOUGALL,DANIEL JOHN",57087651385,Defence Bank Limited HealthShare NSW,
83615178571,Lunik Pty Ltd,32514766352,Defence Teaming Centre,
83586804536,McGrane-Fitzgerald Unit Trust,84068618931,Deflecta Crete Seals ABN 84068618931,
71595434578,PRX Unit Trust,92003435345,"DELAWARE NORTH COMPANIES AUSTRALIA PTY LTD ",https://www.delawarenorth.com
40004846100,Edelman Public Relations Worldwide Pty Ltd,,"Deliveroo ",
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Dell Australia Pty Ltd ",
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Dell Australia Pty Ltd ",
91631938317,Wells OCallaghan Watterson Pty Ltd,,Dell Boomi,
39098650241,John O'Connor and Associates Pty Ltd,,Dematic Pty Ltd,
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Demigold Pty Ltd ",
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Demigold Pty Ltd ",
28125233543,Government Relations Solutions Pty Ltd,,Demographia Australia Inc,
87145965466,Sling & Stone,59133632130,DEPUTECHNOLOGIES PTY LTD,https://www.deputy.com
73137508555,The Premier Communications Group Pty Ltd.,,Desane Group Holdinbgs,
73137508555,The Premier Communications Group Pty Ltd.,,Desane Group Holdinbgs,
34123819385,FPL Advisory Pty Ltd,,Design Matters,
13100392827,Wurley Group Pty Ltd,,Device Technologies Australia Pty Ltd,
38162366056,Newgate Communications Pty Limited,,Dexus Holdings Pty Limited,
17165851856,Willard Public Affairs Pty Limited,,DHL Supply Chain Pty Ltd,
38162366056,Newgate Communications Pty Limited,,Diageo Australia Limited,
78605668344,Beltway Government Relations Pty Ltd,16010089175,Dialog Pty Ltd,https://www.dialog.com.au/
62164001969,BDaaS Consulting Pty Ltd,,DigiMe Ltd,
90116598924,Statecraft,,Dimension Data,
87145965466,Sling & Stone,65003371239,Dimension Data Australia Pty Limited,https://www.dimensiondata.com/
91631938317,Wells OCallaghan Watterson Pty Ltd,,Dimension Data Group,
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Direct Freight Express Pty ltd ",
29145634224,Jo Scard Pty Ltd,,Disability Sports Australia Limited ABN 96 104 461 814,
60355347758,Trustee of Kerans Family Trust,,Dish Purchasing Corporation,
20018352673,The Hon. Robert Charles Baldwin,8662131268,Disruptive Packaging Pty Ltd,
38162366056,Newgate Communications Pty Limited,,Diversified Infrastructure Trust,
26614088881,Christmas Jalili Pty Ltd,,Divorce Partners,
79109681405,Hawker Britton Group Pty Ltd,,Dixon Advisory,
62621984923,Brickfielder Government Engagement,,DLA Piper,
71105001081,Bush Consulting Services Pty Ltd,,Doctors Gully Investments Pty Ltd,
71105001081,Bush Consulting Services Pty Ltd,,Doctors Gully Investments Pty Ltd,
17148998645,Diplomacy Pty Limited,,DocuSign,www.docusign.com
44230891629,The Trustee for Hilton Valley Investment,,DomaCom,
79109681405,Hawker Britton Group Pty Ltd,,Domain Principal Group,
86086302838,Marketing Elements Pty Ltd,,Domestic Violence NSW,
38162366056,Newgate Communications Pty Limited,,Domino's Pizza Enterprises Limited,
13100392827,Wurley Group Pty Ltd,,dorsaVi Ltd,
50082123822,GRACosway Pty Ltd,,Doterra Australia Pty Ltd,
37140000602,Paramul Pty Ltd,,Dourias Group Holdings,
37140000602,Paramul Pty Ltd,,Dourias Group Holdings,
53153921058,One Degree Advisory Pty Ltd,,Down Under Geosolutions,
53153921058,One Degree Advisory Pty Ltd,,Down Under Geosolutions,
76615655699,Nexus APAC Pty Ltd,97003872848,Downer EDI,www.downergoup.com
71619450841,PremierNational Pty Ltd,97003872848,Downer EDI Limited,
26149964189,Premier State Consulting Pty Ltd,97003872848,Downer EDI Limited,
81623654839,Coode Holdings Pty Ltd,60617211935,Dowsing Group Pty Ltd,
99153936719,"Cornerstone Group Australia Pty Ltd ",,DPL Medical Pty Limited,
49622979177,"Media and Public Affairs ",,Dr ES,
49622979177,"Media and Public Affairs ",,Dr Liz,
74068259683,Asys Consulting,,Drawdown Australia,
39098650241,John O'Connor and Associates Pty Ltd,,Dried Fruits Australia,
50082123822,GRACosway Pty Ltd,,DrinkWise Australia Ltd,
33425786517,Leonie M. Short,64102943304,DRUG ARM Australasia,
29138717272,Momentum Strategic Communication Services,,DTEX,
26614088881,Christmas Jalili Pty Ltd,33091717850,Dtex Systems Pty Ltd,https://www.dtexsystems.com
65140067287,"Barton Deakin ",,DTI Corporation Australia Pty Ltd,
92715851492,Chikarovski & Associates Pty Ltd,,DTZ Pty Ltd,
26149964189,Premier State Consulting Pty Ltd,608301956,Dural Investment Holding Pty Ltd,
71619450841,PremierNational Pty Ltd,608301956,Dural Investment Holdings Pty Ltd,
65129479821,Creative Transformations (Aust) Pty Ltd,,DWF Lawyers,
70543558011,Brent William Knevett,,DXC Technology,
94630474207,Brickfielder Insights Pty Ltd,,DXC Technology Australia Pty Limited,
86610548171,Defence Advisory Services Australasia Pty Ltd,18008476944,DXC Technology Pty Ltd,
72105160736,People First HR Solutions Pty Ltd,,E Qubed,
62630031355,Enjolras Pty Ltd,,Eagle Australasia,
20018352673,The Hon. Robert Charles Baldwin,,"Eagle Property Group Pty Ltd ",
70543558011,Brent William Knevett,,Eaglecrest Technology,
17165851856,Willard Public Affairs Pty Limited,,Eastern Domestic Violence Service Inc. (EDVOS),
36617864347,Primary Communication Partners,66103014571,Eaton Industries,
17165851856,Willard Public Affairs Pty Limited,,eBay International AG,
71595434578,PRX Unit Trust,38125401247,EBOS GROUP AUSTRALIA PTY LIMITED,https://www.ebosgroup.com
33136520548,SAS Consulting Group Pty Ltd,,ECA Master Electricians,
17148998645,Diplomacy Pty Limited,,EchoStar,
39099239175,CHAP AirTech Pty Ltd,,ECO Sustainable Development Ltd,
61982432138,Leisure Solutions,,Ecotourism Australia Ltd (Geotourism Forum),
57393406800,Anna Katrina Nix Kumar,40004846100,Edelman Public Relations Worldwide Pty Ltd,www.edelman.com
71595434578,PRX Unit Trust,96138299288,"Edge Loyalty Systems Pty Ltd ",https://www.edgepri.com
53153921058,One Degree Advisory Pty Ltd,,Edith Cowan University,
36617864347,Primary Communication Partners,,Education Testing Service,
13100392827,Wurley Group Pty Ltd,,Edwards Lifesciences Pty Ltd,
99003613134,Covance Pty Ltd (Covance Market Access Services division),,Eisai Australia Pty Limited,
34837287161,Kirchmann Management Consultants Pty Ltd,,Eisai Australia Pty Ltd,
77076174126,Probity International Pty. Ltd,,Elbit,
66006582921,Intech Strategies P/L,,Elbit Systems Ltd,
66006582921,Intech Strategies P/L,,Elbit Systems of Australia P/L,
73130740546,CMAX Communications Pty Ltd,,Electro Optic Systems Pty Ltd,
36617864347,Primary Communication Partners,,Elgas,
89096965794,opr Agency,,Eli Lilly Australia,
79632066669,Operational Legal Australia Pty Ltd,,Elite Carpentry and Joinery Pty Ltd,
58101934454,Crosby Textor Research Strategies Results Pty Ltd,,Elliott Advisers (HK) Limited,
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Eloura Holdings ",
24166898488,Bossy Group Pty Ltd,,Emanuel Exports Pty Ltd,
71595434578,PRX Unit Trust,5016081127,Emenell Pty Ltd,
59954528757,The Canberra Institute,,Emirates Trading Australia,
71595434578,PRX Unit Trust,93104757904,"EML PAYMENTS LIMITED ",https://www.emlpayments.com
49090692014,Discourse Consulting Pty Ltd,,Employers Mutual,
49090692014,Discourse Consulting Pty Ltd,,Employers Mutual,
49090692014,Discourse Consulting Pty Ltd,,Employers Mutual,
49090692014,Discourse Consulting Pty Ltd,,Employers Mutual,
26149964189,Premier State Consulting Pty Ltd,11001735191,Employers Mutual Limited,
71619450841,PremierNational Pty Ltd,11001735191,Employers Mutual Limited,
38162366056,Newgate Communications Pty Limited,,Employsure,
51069838222,The Fifth Estate Consultancy Pty Ltd,99086014968,Energy Australia Pty Ltd,
64964952044,Govstrat Pty Ltd,,Energy Developments Limited,
49622979177,"Media and Public Affairs ",,Energyu Efficiency Council of Australia,
23630677673,TG Endeavour Pty Ltd,,ENGIE in Australia,
63272133108,The Trustee for Arthur Trust,63020415510,Engineers Australia,
80086277787,Clarity Corporate Communications Pty Ltd,,Enirgi Metal Group,
81634747363,GC Advisory Pty Ltd,46617546488,Enterprise Corporation Pty Ltd,
38162366056,Newgate Communications Pty Limited,,EOT's Pty Ltd,
92715851492,Chikarovski & Associates Pty Ltd,,"Epochal Pty Ltd ",
92118248892,The Agenda Group Pty Ltd,,Epworth Health Care,Epworth Health Care
79109681405,Hawker Britton Group Pty Ltd,,Equinor,
65140067287,"Barton Deakin ",,Equinor ASA,
80318383423,David Quilty Consulting,75288172749,Ernst & Young,https://www.ey.com/au/en/home
86090759032,Sefiani Communications Group Pty Ltd,,Ernst and Young,
20098705403,Australian Public Affairs Limited Partnership,,Ernst and Young,
47008579566,Innovative Electronics Pty Ltd,,ESA/CSIRO,
90604408826,TSB Advisory Pty Ltd,,Estia Health Ltd,
81634747363,GC Advisory Pty Ltd,93099503456,"Ethan Group Pty Ltd ",
34837287161,Kirchmann Management Consultants Pty Ltd,,EUSA Pharma,
40344935470,John C Blackwell,,Eutelsat Asia Pte Ltd,
79928896133,The Trustee for the Cobalt Family Trust,,EV Metals Group,
20098705403,Australian Public Affairs Limited Partnership,,evaluate economic consulting,
65140067287,"Barton Deakin ",,Evans Dixon,
71619450841,PremierNational Pty Ltd,51000005103,Event Hospitality & Entertainment Ltd,
